Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;Percentages;Distribution;Opmerkingen
UniekNummer;UniekNummer;TRUE;numeric;0;101543;20240816595;[0-9]{4};TRUE;;;
Jaar;Jaar;TRUE;numeric;0;2021;2024;20[0-9]{2};FALSE;2024: (33.2%) | 2023: (32.4%) | 2022: (26.5%) | 2021: ( 7.8%);Q1 = 2022  | median = 2023  | Q3 =  2024  | mean = 2023  | stdev = 0.95;
Weegfactor;Weegfactor;TRUE;numeric;0;1;4;NA;FALSE;0.981343657033532: (19.4%) | 1.04874067045085: (18.4%) | 1.06324454733158: (18.2%) | 1.41521631795711: ( 7.7%) | 1.56937581144769: ( 7.7%) | 1.47513672339998: ( 4.9%) | 1.99656724041182: ( 4.3%) | 1.39109357460439: ( 4.0%) | 1.63841860353091: ( 3.6%) | 1.57785639433039: ( 3.1%) | Other: ( 8.6%);Q1 = 1.04874067045085  | median = 1.06324454733158  | Q3 =  1.47513672339998  | mean = 1.28  | stdev = 0.426;
BrinActueel;BrinActueel;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;21PL: (100%);NA;
BrinNaamActueel;BrinNaamActueel;TRUE;subset;0;NA;NA;NA;FALSE;Vrije Universiteit Amsterdam: (100%);NA;
Brin;Brin;TRUE;subset;0;NA;NA;[A-Z]{2};FALSE;21PL: (100%);NA;
BrinNaam;BrinNaam;TRUE;subset;0;NA;NA;NA;FALSE;Vrije Universiteit Amsterdam: (100%);NA;
CrohoActueel;CrohoActueel;TRUE;numeric;0;55002;66980;[0-9]{4};FALSE;55002: (57.13%) | 65014: (23.29%) | 65020: (14.66%) | 66980: ( 2.46%) | 65026: ( 1.06%) | 56704: ( 0.93%) | 60805: ( 0.33%) | 60821: ( 0.13%);Q1 = 55002  | median = 55002  | Q3 =  65014  | mean = 59246  | stdev = 4984;
CrohoNaamActueel;CrohoNaamActueel;TRUE;subset;0;NA;NA;NA;FALSE;B Liberal Arts and Sciences (joint degree): (57.13%) | M Computer Science (joint degree): (23.29%) | M Bioinformatics and Systems Biology (joint degree): (14.66%) | M Mathematics: ( 2.46%) | M Educatieve Master Primair Onderwijs (joint degree): ( 1.06%) | B Oudheidwetenschappen: ( 0.93%) | M Archeologie: ( 0.33%) | M Oudheidstudies: ( 0.13%);NA;
Croho;Croho;TRUE;numeric;0;55002;66980;[0-9]{4};FALSE;55002: (57.13%) | 65014: (23.29%) | 65020: (14.66%) | 66980: ( 2.46%) | 65026: ( 1.06%) | 56704: ( 0.93%) | 60805: ( 0.33%) | 60821: ( 0.13%);Q1 = 55002  | median = 55002  | Q3 =  65014  | mean = 59246  | stdev = 4984;
CrohoNaam;CrohoNaam;TRUE;subset;0;NA;NA;NA;FALSE;B Liberal Arts and Sciences (joint degree): (57.13%) | M Computer Science (joint degree): (23.29%) | M Bioinformatics and Systems Biology (joint degree): (14.66%) | M Mathematics: ( 2.46%) | M Educatieve Master Primair Onderwijs (joint degree): ( 1.06%) | B Oudheidwetenschappen: ( 0.93%) | M Archeologie: ( 0.33%) | M Oudheidstudies: ( 0.13%);NA;
Locatie;Locatie;TRUE;subset;0;NA;NA;NA;FALSE;Amsterdam: (100%);NA;
CrohoSector;CrohoSector;TRUE;numeric;0;1;10;NA;FALSE;10: (57.1%) | 3: (40.4%) | 9: ( 1.4%) | 1: ( 1.1%);Q1 = 3  | median = 10  | Q3 =  10  | mean = 7.06  | stdev = 3.47;
CrohoSectorNaam;CrohoSectorNaam;TRUE;subset;0;NA;NA;NA;FALSE;Sectoroverstijgend: (57.1%) | Natuur: (40.4%) | Taal & Cultuur: ( 1.4%) | Onderwijs: ( 1.1%);NA;
BrinvolgnummerActueel;BrinvolgnummerActueel;TRUE;numeric;0;0;0;NA;FALSE;0: (100%);Q1 = 0  | median = 0  | Q3 =  0  | mean = 0  | stdev = 0;
BrinVolgnummer;BrinVolgnummer;TRUE;numeric;0;0;0;NA;FALSE;0: (100%);Q1 = 0  | median = 0  | Q3 =  0  | mean = 0  | stdev = 0;
SoortHo;SoortHo;TRUE;numeric;0;2;2;NA;FALSE;2: (100%);Q1 = 2  | median = 2  | Q3 =  2  | mean = 2  | stdev = 0;
BaMa;BaMa;TRUE;numeric;0;1;2;NA;FALSE;1: (58%) | 2: (42%);Q1 = 1  | median = 1  | Q3 =  2  | mean = 1.42  | stdev = 0.494;
